Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
44049,Kipton,OH,41.267051,-82.3047,-5,1,"41.267051, -82.3047"
44637,Killbuck,OH,40.485312,-82.01209,-5,1,"40.485312, -82.01209"
45226,Cincinnati,OH,39.114911,-84.42526,-5,1,"39.114911, -84.42526"
43531,Kunkle,OH,41.635979,-84.49453,-5,1,"41.635979, -84.49453"
43755,Lore City,OH,40.041068,-81.44635,-5,1,"40.041068, -81.44635"
43762,New Concord,OH,40.018953,-81.73657,-5,1,"40.018953, -81.73657"
44105,Cleveland,OH,41.450602,-81.62216,-5,1,"41.450602, -81.62216"
43284,Columbus,OH,39.969036,-83.011389,-5,1,"39.969036, -83.011389"
45816,Benton Ridge,OH,41.00433,-83.79265,-5,1,"41.00433, -83.79265"
43699,Toledo,OH,41.653788,-83.658937,-5,1,"41.653788, -83.658937"
44502,Youngstown,OH,41.086279,-80.64563,-5,1,"41.086279, -80.64563"
45850,Harrod,OH,40.713499,-83.93098,-5,1,"40.713499, -83.93098"
45874,Ohio City,OH,40.780889,-84.65726,-5,1,"40.780889, -84.65726"
44076,Orwell,OH,41.535437,-80.83514,-5,1,"41.535437, -80.83514"
44112,Cleveland,OH,41.534101,-81.57558,-5,1,"41.534101, -81.57558"
44251,Westfield Center,OH,41.029639,-81.93146,-5,1,"41.029639, -81.93146"
44515,Youngstown,OH,41.099008,-80.74545,-5,1,"41.099008, -80.74545"
43215,Columbus,OH,39.965131,-83.00431,-5,1,"39.965131, -83.00431"
44052,Lorain,OH,41.459218,-82.1691,-5,1,"41.459218, -82.1691"
44274,Sharon Center,OH,41.09924,-81.734329,-5,1,"41.09924, -81.734329"
44492,West Point,OH,40.709282,-80.70141,-5,1,"40.709282, -80.70141"
44850,New Haven,OH,41.034683,-82.68056,-5,1,"41.034683, -82.68056"
43412,Curtice,OH,41.63678,-83.30724,-5,1,"41.63678, -83.30724"
43407,Burgoon,OH,41.277969,-83.24578,-5,1,"41.277969, -83.24578"
43917,Dillonvale,OH,40.212067,-80.78094,-5,1,"40.212067, -80.78094"
45835,Dola,OH,40.768846,-83.70007,-5,1,"40.768846, -83.70007"
43960,Richland,OH,40.012984,-80.859104,-5,1,"40.012984, -80.859104"
44453,Orangeville,OH,41.32519,-80.533572,-5,1,"41.32519, -80.533572"
43227,Columbus,OH,39.944231,-82.89063,-5,1,"39.944231, -82.89063"
43836,Plainfield,OH,40.200382,-81.720675,-5,1,"40.200382, -81.720675"
43984,New Rumley,OH,40.29649,-81.102502,-5,1,"40.29649, -81.102502"
43681,Toledo,OH,41.686778,-83.43943,-5,1,"41.686778, -83.43943"
43733,Derwent,OH,39.923616,-81.542965,-5,1,"39.923616, -81.542965"
43334,Marengo,OH,40.399648,-82.80783,-5,1,"40.399648, -82.80783"
45841,Jenera,OH,40.881217,-83.73199,-5,1,"40.881217, -83.73199"
43652,Toledo,OH,41.686778,-83.43943,-5,1,"41.686778, -83.43943"
43719,Bethesda,OH,40.009383,-81.0763,-5,1,"40.009383, -81.0763"
43748,Junction City,OH,39.710863,-82.30228,-5,1,"39.710863, -82.30228"
43506,Bryan,OH,41.471569,-84.55459,-5,1,"41.471569, -84.55459"
43735,East Fultonham,OH,39.851515,-82.12173,-5,1,"39.851515, -82.12173"
44403,Brookfield,OH,41.239987,-80.58346,-5,1,"41.239987, -80.58346"
43081,Westerville,OH,40.109513,-82.91606,-5,1,"40.109513, -82.91606"
44398,Akron,OH,41.128705,-81.53999,-5,1,"41.128705, -81.53999"
44022,Chagrin Falls,OH,41.43932,-81.39232,-5,1,"41.43932, -81.39232"
43115,Clarksburg,OH,39.501913,-83.17383,-5,1,"39.501913, -83.17383"
44333,Akron,OH,41.144661,-81.61948,-5,1,"41.144661, -81.61948"
43430,Genoa,OH,41.523309,-83.37072,-5,1,"41.523309, -83.37072"
44618,Dalton,OH,40.787827,-81.68623,-5,1,"40.787827, -81.68623"
45418,Dayton,OH,39.716161,-84.2734,-5,1,"39.716161, -84.2734"
45789,Wingett Run,OH,39.551002,-81.256,-5,1,"39.551002, -81.256"
45814,Arlington,OH,40.892253,-83.64338,-5,1,"40.892253, -83.64338"
43014,Danville,OH,40.470806,-82.26422,-5,1,"40.470806, -82.26422"
43623,Toledo,OH,41.707649,-83.64363,-5,1,"41.707649, -83.64363"
43986,Jewett,OH,40.374942,-80.99193,-5,1,"40.374942, -80.99193"
44102,Cleveland,OH,41.473451,-81.7358,-5,1,"41.473451, -81.7358"
45684,Stout,OH,38.664532,-83.29759,-5,1,"38.664532, -83.29759"
44878,Shiloh,OH,40.949737,-82.52995,-5,1,"40.949737, -82.52995"
43116,Commercial Point,OH,39.768502,-83.06007,-5,1,"39.768502, -83.06007"
43343,Quincy,OH,40.308916,-83.97325,-5,1,"40.308916, -83.97325"
43925,East Springfield,OH,40.450257,-80.86015,-5,1,"40.450257, -80.86015"
44514,Youngstown,OH,41.016159,-80.61549,-5,1,"41.016159, -80.61549"
45412,Dayton,OH,39.750471,-84.268593,-5,1,"39.750471, -84.268593"
44233,Hinckley,OH,41.233479,-81.73475,-5,1,"41.233479, -81.73475"
44425,Hubbard,OH,41.166743,-80.57733,-5,1,"41.166743, -80.57733"
43150,Rushville,OH,39.778306,-82.41455,-5,1,"39.778306, -82.41455"
45617,Bourneville,OH,39.280388,-83.158991,-5,1,"39.280388, -83.158991"
45410,Dayton,OH,39.748309,-84.15893,-5,1,"39.748309, -84.15893"
44643,Magnolia,OH,40.646529,-81.30882,-5,1,"40.646529, -81.30882"
43811,Conesville,OH,40.180136,-81.90422,-5,1,"40.180136, -81.90422"
44706,Canton,OH,40.776858,-81.40593,-5,1,"40.776858, -81.40593"
45142,Lynchburg,OH,39.213112,-83.80743,-5,1,"39.213112, -83.80743"
44057,Madison,OH,41.80063,-81.06021,-5,1,"41.80063, -81.06021"
44198,Cleveland,OH,41.685744,-81.672797,-5,1,"41.685744, -81.672797"
44858,Norwalk,OH,41.261375,-82.589042,-5,1,"41.261375, -82.589042"
45630,Friendship,OH,38.793335,-82.96046,-5,1,"38.793335, -82.96046"
45405,Dayton,OH,39.788458,-84.21111,-5,1,"39.788458, -84.21111"
43731,Crooksville,OH,39.742354,-82.09349,-5,1,"39.742354, -82.09349"
45176,Williamsburg,OH,39.081436,-84.02906,-5,1,"39.081436, -84.02906"
45298,Cincinnati,OH,39.166759,-84.53822,-5,1,"39.166759, -84.53822"
45333,Houston,OH,40.260111,-84.33611,-5,1,"40.260111, -84.33611"
43326,Kenton,OH,40.642266,-83.60577,-5,1,"40.642266, -83.60577"
43560,Sylvania,OH,41.706383,-83.7102,-5,1,"41.706383, -83.7102"
43041,Marysville,OH,40.306924,-83.360645,-5,1,"40.306924, -83.360645"
43055,Newark,OH,40.079115,-82.40054,-5,1,"40.079115, -82.40054"
45159,New Vienna,OH,39.326987,-83.68731,-5,1,"39.326987, -83.68731"
43569,Weston,OH,41.349205,-83.78953,-5,1,"41.349205, -83.78953"
45855,Latty,OH,41.088144,-84.58332,-5,1,"41.088144, -84.58332"
45408,Dayton,OH,39.741558,-84.22362,-5,1,"39.741558, -84.22362"
45218,Cincinnati,OH,39.264791,-84.5175,-5,1,"39.264791, -84.5175"
45828,Coldwater,OH,40.480128,-84.64678,-5,1,"40.480128, -84.64678"
43062,Pataskala,OH,39.994001,-82.67652,-5,1,"39.994001, -82.67652"
43682,Toledo,OH,41.686778,-83.43943,-5,1,"41.686778, -83.43943"
43667,Toledo,OH,41.686778,-83.43943,-5,1,"41.686778, -83.43943"
45156,Neville,OH,38.810072,-84.21176,-5,1,"38.810072, -84.21176"
45336,Kettlersville,OH,40.438744,-84.26309,-5,1,"40.438744, -84.26309"
44401,Berlin Center,OH,41.031141,-80.95058,-5,1,"41.031141, -80.95058"
43914,Cameron,OH,39.768134,-80.94455,-5,1,"39.768134, -80.94455"
44139,Solon,OH,41.388387,-81.44365,-5,1,"41.388387, -81.44365"
45332,Hollansburg,OH,39.998881,-84.79165,-5,1,"39.998881, -84.79165"
43460,Rossford,OH,41.603797,-83.5619,-5,1,"41.603797, -83.5619"
44107,Lakewood,OH,41.480881,-81.80036,-5,1,"41.480881, -81.80036"
45069,West Chester,OH,39.343757,-84.40249,-5,1,"39.343757, -84.40249"
45687,Wakefield,OH,39.072829,-83.085764,-5,1,"39.072829, -83.085764"
43001,Alexandria,OH,40.091576,-82.61225,-5,1,"40.091576, -82.61225"
44490,Washingtonville,OH,40.899731,-80.76333,-5,1,"40.899731, -80.76333"
44890,Willard,OH,41.073672,-82.72435,-5,1,"41.073672, -82.72435"
45727,Dexter City,OH,39.649854,-81.47113,-5,1,"39.649854, -81.47113"
45891,Van Wert,OH,40.874092,-84.57871,-5,1,"40.874092, -84.57871"
44822,Butler,OH,40.561377,-82.41237,-5,1,"40.561377, -82.41237"
44064,Montville,OH,41.61391,-81.05515,-5,1,"41.61391, -81.05515"
44855,North Fairfield,OH,41.100202,-82.60887,-5,1,"41.100202, -82.60887"
45658,Patriot,OH,38.766082,-82.41638,-5,1,"38.766082, -82.41638"
45897,Williamstown,OH,40.834233,-83.65288,-5,1,"40.834233, -83.65288"
45353,Pemberton,OH,40.294031,-84.03271,-5,1,"40.294031, -84.03271"
43624,Toledo,OH,41.657099,-83.54525,-5,1,"41.657099, -83.54525"
43724,Caldwell,OH,39.741629,-81.52512,-5,1,"39.741629, -81.52512"
45155,Mowrystown,OH,39.038055,-83.74936,-5,1,"39.038055, -83.74936"
44181,Cleveland,OH,41.685744,-81.672797,-5,1,"41.685744, -81.672797"
45232,Cincinnati,OH,39.173409,-84.51295,-5,1,"39.173409, -84.51295"
44413,East Palestine,OH,40.838456,-80.54601,-5,1,"40.838456, -80.54601"
44842,Loudonville,OH,40.639849,-82.2246,-5,1,"40.639849, -82.2246"
43084,Woodstock,OH,40.145952,-83.52488,-5,1,"40.145952, -83.52488"
45845,Fort Loramie,OH,40.338583,-84.38348,-5,1,"40.338583, -84.38348"
43344,Richwood,OH,40.430758,-83.32103,-5,1,"40.430758, -83.32103"
44118,Cleveland,OH,41.499202,-81.55434,-5,1,"41.499202, -81.55434"
44901,Mansfield,OH,40.850833,-82.511369,-5,1,"40.850833, -82.511369"
45330,Gratis,OH,39.647494,-84.52749,-5,1,"39.647494, -84.52749"
45111,Camp Dennison,OH,39.195516,-84.29093,-5,1,"39.195516, -84.29093"
45326,Fletcher,OH,40.144131,-84.10429,-5,1,"40.144131, -84.10429"
43008,Buckeye Lake,OH,39.93398,-82.47932,-5,1,"39.93398, -82.47932"
43456,Put In Bay,OH,41.671574,-82.81278,-5,1,"41.671574, -82.81278"
44101,Cleveland,OH,41.523401,-81.599648,-5,1,"41.523401, -81.599648"
45145,Marathon,OH,39.145698,-84.007023,-5,1,"39.145698, -84.007023"
43408,Clay Center,OH,41.565049,-83.363,-5,1,"41.565049, -83.363"
43446,Middle Bass,OH,41.683477,-82.804677,-5,1,"41.683477, -82.804677"
43324,Huntsville,OH,40.460862,-83.83774,-5,1,"40.460862, -83.83774"
44093,Williamsfield,OH,41.52563,-80.58076,-5,1,"41.52563, -80.58076"
44684,Walnut Creek,OH,40.561693,-81.677906,-5,1,"40.561693, -81.677906"
44046,Huntsburg,OH,41.541756,-81.08063,-5,1,"41.541756, -81.08063"
44888,Willard,OH,41.141541,-82.588928,-5,1,"41.141541, -82.588928"
45804,Lima,OH,40.72255,-84.08979,-5,1,"40.72255, -84.08979"
45110,Buford,OH,39.074262,-83.848414,-5,1,"39.074262, -83.848414"
45463,Dayton,OH,39.750471,-84.268593,-5,1,"39.750471, -84.268593"
45325,Farmersville,OH,39.685116,-84.42307,-5,1,"39.685116, -84.42307"
43942,Powhatan Point,OH,39.861984,-80.82023,-5,1,"39.861984, -80.82023"
43138,Logan,OH,39.530972,-82.40801,-5,1,"39.530972, -82.40801"
45152,Morrow,OH,39.350319,-84.11606,-5,1,"39.350319, -84.11606"
43799,Center,OH,39.816891,-81.485315,-5,1,"39.816891, -81.485315"
44203,Barberton,OH,41.017522,-81.61616,-5,1,"41.017522, -81.61616"
44266,Ravenna,OH,41.159224,-81.23143,-5,1,"41.159224, -81.23143"
45130,Hamersville,OH,38.914118,-83.99496,-5,1,"38.914118, -83.99496"
45268,Cincinnati,OH,39.166759,-84.53822,-5,1,"39.166759, -84.53822"
45618,Cherry Fork,OH,38.892198,-83.621787,-5,1,"38.892198, -83.621787"
43319,East Liberty,OH,40.307923,-83.56924,-5,1,"40.307923, -83.56924"
45014,Fairfield,OH,39.330356,-84.55277,-5,1,"39.330356, -84.55277"
45299,Cincinnati,OH,39.262158,-84.509268,-5,1,"39.262158, -84.509268"
45454,Dayton,OH,39.750471,-84.268593,-5,1,"39.750471, -84.268593"
45351,Osgood,OH,40.339356,-84.49597,-5,1,"40.339356, -84.49597"
43565,Tontogany,OH,41.419152,-83.74024,-5,1,"41.419152, -83.74024"
43750,Kipling,OH,39.994467,-81.500579,-5,1,"39.994467, -81.500579"
44818,Bloomville,OH,41.00811,-82.99772,-5,1,"41.00811, -82.99772"
44111,Cleveland,OH,41.459399,-81.78174,-5,1,"41.459399, -81.78174"
44720,Canton,OH,40.888408,-81.41066,-5,1,"40.888408, -81.41066"
45622,Creola,OH,39.364574,-82.4959,-5,1,"39.364574, -82.4959"
43830,Nashport,OH,40.063886,-82.15977,-5,1,"40.063886, -82.15977"
45672,Ray,OH,39.208053,-82.69077,-5,1,"39.208053, -82.69077"
45138,Lees Creek,OH,39.416747,-83.647583,-5,1,"39.416747, -83.647583"
45504,Springfield,OH,39.941827,-83.83702,-5,1,"39.941827, -83.83702"
45671,Rarden,OH,38.947693,-83.24361,-5,1,"38.947693, -83.24361"
43342,Prospect,OH,40.470755,-83.18305,-5,1,"40.470755, -83.18305"
44504,Youngstown,OH,41.123757,-80.65481,-5,1,"41.123757, -80.65481"
45308,Bradford,OH,40.128652,-84.4433,-5,1,"40.128652, -84.4433"
43140,London,OH,39.892676,-83.43643,-5,1,"39.892676, -83.43643"
45316,Clifton,OH,39.796992,-83.82609,-5,1,"39.796992, -83.82609"
43033,Kirkersville,OH,39.960661,-82.59613,-5,1,"39.960661, -82.59613"
43435,Helena,OH,41.333956,-83.30333,-5,1,"41.333956, -83.30333"
44507,Youngstown,OH,41.074508,-80.65562,-5,1,"41.074508, -80.65562"
44750,Canton,OH,40.784646,-81.418943,-5,1,"40.784646, -81.418943"
45120,Felicity,OH,38.821032,-84.09805,-5,1,"38.821032, -84.09805"
43653,Toledo,OH,41.686778,-83.43943,-5,1,"41.686778, -83.43943"
45679,Seaman,OH,38.95352,-83.57108,-5,1,"38.95352, -83.57108"
43908,Bergholz,OH,40.518045,-80.88733,-5,1,"40.518045, -80.88733"
43654,Toledo,OH,41.686778,-83.43943,-5,1,"41.686778, -83.43943"
43299,Columbus,OH,39.969036,-83.011389,-5,1,"39.969036, -83.011389"
45032,Harveysburg,OH,39.499635,-84.00579,-5,1,"39.499635, -84.00579"
43218,Columbus,OH,39.969036,-83.011389,-5,1,"39.969036, -83.011389"
43608,Toledo,OH,41.678248,-83.53257,-5,1,"41.678248, -83.53257"
45238,Cincinnati,OH,39.112169,-84.60849,-5,1,"39.112169, -84.60849"
45242,Cincinnati,OH,39.242559,-84.36042,-5,1,"39.242559, -84.36042"
45743,Long Bottom,OH,39.077704,-81.84506,-5,1,"39.077704, -81.84506"
44617,Charm,OH,40.507088,-81.782872,-5,1,"40.507088, -81.782872"
45879,Paulding,OH,41.137873,-84.56377,-5,1,"41.137873, -84.56377"
43727,Chandlersville,OH,39.873402,-81.81724,-5,1,"39.873402, -81.81724"
44695,Bowerston,OH,40.433246,-81.18764,-5,1,"40.433246, -81.18764"
44817,Bloomdale,OH,41.193747,-83.54226,-5,1,"41.193747, -83.54226"
45648,Lucasville,OH,38.911803,-82.98836,-5,1,"38.911803, -82.98836"
45741,Langsville,OH,39.07348,-82.244,-5,1,"39.07348, -82.244"
43217,Columbus,OH,39.824831,-82.94384,-5,1,"39.824831, -82.94384"
45249,Cincinnati,OH,39.278295,-84.33049,-5,1,"39.278295, -84.33049"
44116,Rocky River,OH,41.475297,-81.84575,-5,1,"41.475297, -81.84575"
44509,Youngstown,OH,41.106249,-80.69471,-5,1,"41.106249, -80.69471"
44693,Deersville,OH,40.308212,-81.18752,-5,1,"40.308212, -81.18752"
43551,Perrysburg,OH,41.540724,-83.58904,-5,1,"41.540724, -83.58904"
43812,Coshocton,OH,40.270198,-81.86761,-5,1,"40.270198, -81.86761"
45429,Dayton,OH,39.687459,-84.15595,-5,1,"39.687459, -84.15595"
45042,Middletown,OH,39.534907,-84.39324,-5,1,"39.534907, -84.39324"
45250,Cincinnati,OH,39.166759,-84.53822,-5,1,"39.166759, -84.53822"
43771,Philo,OH,39.842048,-81.93264,-5,1,"39.842048, -81.93264"
43035,Lewis Center,OH,40.173636,-82.99675,-5,1,"40.173636, -82.99675"
43951,Lafferty,OH,40.109149,-81.01773,-5,1,"40.109149, -81.01773"
44236,Hudson,OH,41.248795,-81.44679,-5,1,"41.248795, -81.44679"
45229,Cincinnati,OH,39.152093,-84.48899,-5,1,"39.152093, -84.48899"
45786,Waterford,OH,39.526685,-81.66109,-5,1,"39.526685, -81.66109"
43082,Westerville,OH,40.14852,-82.91278,-5,1,"40.14852, -82.91278"
44186,Cleveland,OH,41.685744,-81.672797,-5,1,"41.685744, -81.672797"
45776,Shade,OH,39.191685,-82.01828,-5,1,"39.191685, -82.01828"
44003,Andover,OH,41.611348,-80.5622,-5,1,"41.611348, -80.5622"
45255,Cincinnati,OH,39.066112,-84.32227,-5,1,"39.066112, -84.32227"
45715,Beverly,OH,39.58849,-81.62932,-5,1,"39.58849, -81.62932"
45860,Maria Stein,OH,40.400409,-84.51744,-5,1,"40.400409, -84.51744"
43772,Pleasant City,OH,39.895548,-81.53483,-5,1,"39.895548, -81.53483"
44149,Brunswick,OH,41.316784,-81.854005,-5,1,"41.316784, -81.854005"
45840,Findlay,OH,41.037325,-83.64576,-5,1,"41.037325, -83.64576"
43336,Middleburg,OH,40.293691,-83.5827,-5,1,"40.293691, -83.5827"
43740,Gratiot,OH,39.950857,-82.21842,-5,1,"39.950857, -82.21842"
44232,Green,OH,40.932506,-81.461987,-5,1,"40.932506, -81.461987"
45068,Waynesville,OH,39.525562,-84.06923,-5,1,"39.525562, -84.06923"
45407,Dayton,OH,39.760058,-84.22011,-5,1,"39.760058, -84.22011"
45434,Dayton,OH,39.719092,-84.03808,-5,1,"39.719092, -84.03808"
45742,Little Hocking,OH,39.273206,-81.70889,-5,1,"39.273206, -81.70889"
43009,Cable,OH,40.175413,-83.64579,-5,1,"40.175413, -83.64579"
43231,Columbus,OH,40.076042,-82.94064,-5,1,"40.076042, -82.94064"
45207,Cincinnati,OH,39.142246,-84.46983,-5,1,"39.142246, -84.46983"
45233,Cincinnati,OH,39.117065,-84.67173,-5,1,"39.117065, -84.67173"
44322,Akron,OH,41.043496,-81.58536,-5,1,"41.043496, -81.58536"
43536,Mark Center,OH,41.299247,-84.63748,-5,1,"41.299247, -84.63748"
44073,Novelty,OH,41.837043,-80.955545,-5,1,"41.837043, -80.955545"
44241,Streetsboro,OH,41.249405,-81.34404,-5,1,"41.249405, -81.34404"
45012,Hamilton,OH,39.440956,-84.575746,-5,1,"39.440956, -84.575746"
44372,Akron,OH,41.128705,-81.53999,-5,1,"41.128705, -81.53999"
45685,Thurman,OH,38.915013,-82.45326,-5,1,"38.915013, -82.45326"
45432,Dayton,OH,39.74035,-84.09306,-5,1,"39.74035, -84.09306"
43061,Ostrander,OH,40.285343,-83.20426,-5,1,"40.285343, -83.20426"
44191,Cleveland,OH,41.685744,-81.672797,-5,1,"41.685744, -81.672797"
44814,Berlin Heights,OH,41.323499,-82.4692,-5,1,"41.323499, -82.4692"
45690,Waverly,OH,39.123071,-83.0009,-5,1,"39.123071, -83.0009"
43786,Stafford,OH,39.711168,-81.275824,-5,1,"39.711168, -81.275824"
44315,Akron,OH,41.027977,-81.463238,-5,1,"41.027977, -81.463238"
45837,Dupont,OH,41.054934,-84.30075,-5,1,"41.054934, -84.30075"
44875,Shelby,OH,40.888988,-82.65598,-5,1,"40.888988, -82.65598"
44903,Mansfield,OH,40.766589,-82.51869,-5,1,"40.766589, -82.51869"
43529,Hoytville,OH,41.190401,-83.78249,-5,1,"41.190401, -83.78249"
44026,Chesterland,OH,41.526301,-81.33683,-5,1,"41.526301, -81.33683"
45239,Cincinnati,OH,39.207558,-84.57299,-5,1,"39.207558, -84.57299"
45882,Rockford,OH,40.682303,-84.67806,-5,1,"40.682303, -84.67806"
43004,Blacklick,OH,39.998073,-82.8052,-5,1,"39.998073, -82.8052"
44807,Attica,OH,41.069216,-82.87708,-5,1,"41.069216, -82.87708"
45710,Albany,OH,39.202517,-82.21421,-5,1,"39.202517, -82.21421"
43291,Columbus,OH,39.969036,-83.011389,-5,1,"39.969036, -83.011389"
44120,Cleveland,OH,41.472352,-81.58211,-5,1,"41.472352, -81.58211"
44488,Warren,OH,41.317424,-80.761269,-5,1,"41.317424, -80.761269"
45338,Lewisburg,OH,39.849859,-84.54428,-5,1,"39.849859, -84.54428"
45056,Oxford,OH,39.498751,-84.7407,-5,1,"39.498751, -84.7407"
45385,Xenia,OH,39.682836,-83.92144,-5,1,"39.682836, -83.92144"
44121,Cleveland,OH,41.526151,-81.53309,-5,1,"41.526151, -81.53309"
44131,Independence,OH,41.391753,-81.65816,-5,1,"41.391753, -81.65816"
45044,Middletown,OH,39.482957,-84.38393,-5,1,"39.482957, -84.38393"
45310,Burkettsville,OH,40.352158,-84.6448,-5,1,"40.352158, -84.6448"
43083,Westville,OH,40.102185,-83.83786,-5,1,"40.102185, -83.83786"
44404,Burghill,OH,41.340211,-80.536,-5,1,"41.340211, -80.536"
43760,Mount Perry,OH,39.888751,-82.19224,-5,1,"39.888751, -82.19224"
43782,Shawnee,OH,39.608984,-82.22225,-5,1,"39.608984, -82.22225"
43018,Etna,OH,39.956994,-82.68307,-5,1,"39.956994, -82.68307"
43117,Derby,OH,39.773025,-83.199472,-5,1,"39.773025, -83.199472"
43240,Columbus,OH,40.146873,-82.98178,-5,1,"40.146873, -82.98178"
45307,Bowersville,OH,39.580198,-83.72363,-5,1,"39.580198, -83.72363"
43235,Columbus,OH,40.099204,-83.05567,-5,1,"40.099204, -83.05567"
44334,Akron,OH,41.128705,-81.53999,-5,1,"41.128705, -81.53999"
44646,Massillon,OH,40.805131,-81.50101,-5,1,"40.805131, -81.50101"
45231,Cincinnati,OH,39.242608,-84.5453,-5,1,"39.242608, -84.5453"
45348,New Weston,OH,40.332705,-84.65016,-5,1,"40.332705, -84.65016"
43310,Belle Center,OH,40.518081,-83.78052,-5,1,"40.518081, -83.78052"
44491,West Farmington,OH,41.369527,-80.96327,-5,1,"41.369527, -80.96327"
45713,Bartlett,OH,39.419647,-81.8164,-5,1,"39.419647, -81.8164"
43211,Columbus,OH,40.012714,-82.97127,-5,1,"40.012714, -82.97127"
45177,Wilmington,OH,39.463476,-83.84446,-5,1,"39.463476, -83.84446"
45003,College Corner,OH,39.575126,-84.7905,-5,1,"39.575126, -84.7905"
43961,Stratton,OH,40.523054,-80.6294,-5,1,"40.523054, -80.6294"
45241,Cincinnati,OH,39.276271,-84.39324,-5,1,"39.276271, -84.39324"
44113,Cleveland,OH,41.484688,-81.70125,-5,1,"41.484688, -81.70125"
45253,Cincinnati,OH,39.166759,-84.53822,-5,1,"39.166759, -84.53822"
43103,Ashville,OH,39.720751,-82.94842,-5,1,"39.720751, -82.94842"
43930,Hammondsville,OH,40.566375,-80.76929,-5,1,"40.566375, -80.76929"
44846,Milan,OH,41.306205,-82.60611,-5,1,"41.306205, -82.60611"
45374,Troy,OH,40.03997,-84.229799,-5,1,"40.03997, -84.229799"
45430,Dayton,OH,39.710787,-84.08192,-5,1,"39.710787, -84.08192"
43330,Kirby,OH,40.813023,-83.419606,-5,1,"40.813023, -83.419606"
43723,Byesville,OH,39.968985,-81.54108,-5,1,"39.968985, -81.54108"
45440,Dayton,OH,39.674192,-84.11029,-5,1,"39.674192, -84.11029"
43320,Edison,OH,40.583666,-82.88443,-5,1,"40.583666, -82.88443"
43945,Salineville,OH,40.624307,-80.83872,-5,1,"40.624307, -80.83872"
45362,Rossburg,OH,40.28577,-84.63891,-5,1,"40.28577, -84.63891"
45449,Dayton,OH,39.664226,-84.24201,-5,1,"39.664226, -84.24201"
43340,Mount Victory,OH,40.547039,-83.49204,-5,1,"40.547039, -83.49204"
43542,Monclova,OH,41.577428,-83.76396,-5,1,"41.577428, -83.76396"
44033,East Claridon,OH,41.53335,-81.111175,-5,1,"41.53335, -81.111175"
44201,Atwater,OH,41.020057,-81.20037,-5,1,"41.020057, -81.20037"
43126,Harrisburg,OH,39.810093,-83.17085,-5,1,"39.810093, -83.17085"
45370,Spring Valley,OH,39.600367,-84.02586,-5,1,"39.600367, -84.02586"
43359,Wharton,OH,40.863848,-83.45714,-5,1,"40.863848, -83.45714"
44650,Maximo,OH,40.874558,-81.173873,-5,1,"40.874558, -81.173873"
45764,Nelsonville,OH,39.450463,-82.22975,-5,1,"39.450463, -82.22975"
44422,Greenford,OH,41.017082,-80.802854,-5,1,"41.017082, -80.802854"
45302,Anna,OH,40.40476,-84.19578,-5,1,"40.40476, -84.19578"
44130,Cleveland,OH,41.378051,-81.77945,-5,1,"41.378051, -81.77945"
44424,Hartford,OH,41.309096,-80.584681,-5,1,"41.309096, -80.584681"
44632,Hartville,OH,40.96289,-81.32814,-5,1,"40.96289, -81.32814"
