Zip Code,Enrollment,School,Location,Control,Type,,Latitude,Longitude,County
44601,2262,University of Mount Union,Alliance,Private not-for profit,Baccalaureate college,,,,
45674,2202,University of Rio Grande,Rio Grande,Private not-for profit,Mixed baccalaureate/associate's college,,,,
44121,2100,Notre Dame College,South Euclid,Private not-for profit,Master's university,,,,
43701,2100,Zane State College,Zanesville,Public,Associate's college,,,,
43762,2074,Muskingum University,New Concord,Private not-for profit,Master's university,,,,
44691,2049,The College of Wooster,Wooster,Private not-for profit,Baccalaureate college,,,,
43560,2035,Lourdes University,Sylvania,Private not-for profit,Master's university,,,,
45504,1964,Wittenberg University,Springfield,Private not-for profit,Baccalaureate college,,,,
44709,1962,Malone University,Canton,Private not-for profit,Master's university,,,,
45384,1751,Central State University,Wilberforce,Public,"Baccalaureate college, HBCU",,,,
43015,1734,Ohio Wesleyan University,Delaware,Private not-for profit,Baccalaureate college,,,,
43022,1662,Kenyon College,Gambier,Private not-for profit,Baccalaureate college,,,,
45206,1567,Union Institute & University,Cincinnati,Private not-for profit,Doctoral/moderate research university,,,,
45750,1500,Marietta College,Marietta,Private not-for profit,Baccalaureate college,,,,
44103,1500,Ohio Technical College,Cleveland,Private for-profit,Associate's college,,,,
43215,1288,Columbus College of Art and Design,Columbus,Private not-for profit,Special-focus institution,,,,
44234,1259,Hiram College,Hiram,Private not-for profit,Baccalaureate college,,,,
44883,1230,Heidelberg University,Tiffin,Private not-for profit,Master's university,,,,
45402,1200,Miami-Jacobs Career College,Dayton,Private for-profit,,,,,
45177,1200,Wilmington College,Wilmington,Private not-for profit,Master's university,,,,
44124,1180,Ursuline College,Pepper Pike,Private not-for profit,Master's university,,,,
44077,1155,Lake Erie College,Painesville,Private not-for profit,Master's university,,,,
45817,1094,Bluffton University,Bluffton,Private not-for profit,Baccalaureate college,,,,
43950,1042,Belmont College,St. Clairsville,Public,Associate's college,,,,
44114,1000,Cleveland Institute of Electronics,Cleveland,Private for-profit,Associate's college,,,,
44272,959,Northeast Ohio Medical University,Rootstown,Public,Doctoral/M.D./Pharm.D./higher research university,,,,
43512,920,Defiance College,Defiance,Private not-for profit,Baccalaureate college,,,,
43222,897,Mount Carmel College of Nursing,Columbus,Private not-for profit,Special-focus institution,,,,
45433,860,Air Force Institute of Technology,Wright-Patterson Air Force Base,Public,Doctoral/moderate research university,,39.823056,-84.049444,Montgomery County
45429,760,Kettering College,Kettering,Private not-for profit,Special-focus institution,,,,
43604,688,Mercy College of Ohio,Toledo,Private not-for profit,Special-focus institution,,,,
44106,615,Cleveland Institute of Art,Cleveland,Private not-for profit,Special-focus institution,,,,
45239,548,Beckfield College,Springdale,Private for-profit,Associate's college,,,,
44125,510,Remington College,Cleveland,Private not-for profit,Special-focus institution,,,,
45118,500,Chatfield College,Cincinnati,Private not-for profit,Associate's college,,,,
44106,450,Cleveland Institute of Music,Cleveland,Private not-for profit,Special-focus institution,,,,
45384,387,Wilberforce University,Wilberforce,Private not-for profit,"Baccalaureate college, HBCU",,,,
45387,243,Antioch University Midwest,Yellow Springs,Private not-for profit,Master's university,,,,
45202,209,Art Academy of Cincinnati,Cincinnati,Private not-for profit,Special-focus institution,,,,
45387,179,Antioch College,Yellow Springs,Private not-for profit,Baccalaureate college,,,,
43232,169,Daymar College,Various,Private for-profit,Associate's college,,,,
43235,138,Pontifical College Josephinum,Columbus,Private not-for profit,Special-focus institution,,,,
44460,84,Allegheny Wesleyan College,Salem,Private not-for profit,Baccalaureate college,,,,
